Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Attention deficit hyperactivity disorder	C1263846	ITGA11	22801	Q9UKX5	integrin subunit alpha 11		34	0.678	0.5	8.661e-08	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	PUF60	22827	Q9UHX1	poly(U) binding splicing factor 60		188	0.536	0.769	0.99677	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	CNKSR2	22866	Q8WXI2	connector enhancer of kinase suppressor of Ras 2		96	0.628	0.538	0.99996	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NLGN1	22871	Q8N2Q7	neuroligin 1		32	0.705	0.385	0.85276	0.1		1.0	1	1	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	TRAK1	22906	Q9UPV9	trafficking kinesin protein 1	Transporter	66	0.674	0.423	0.00037311	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	FAN1	22909	Q9Y2M0	FANCD2 and FANCI associated nuclease 1		93	0.61	0.577	1.6512e-25	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SHANK2	22941	Q9UPX8	SH3 and multiple ankyrin repeat domains 2		49	0.663	0.385	8.4299e-07	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	NT5C2	22978	P49902	5'-nucleotidase, cytosolic II	Enzyme	149	0.537	0.846	2.1385e-06	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	SORCS3	22986	Q9UPU3	sortilin related VPS10 domain containing receptor 3	Transporter	22	0.76	0.231	3.7354e-05	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	FLI1	2313	Q01543	Fli-1 proto-oncogene, ETS transcription factor	Transcription factor	318	0.468	0.692	0.9894	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	FLII	2314	Q13045	FLII actin remodeling protein		198	0.52	0.808	5.5313e-12	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	VPS13A	23230	Q96RL7	vacuolar protein sorting 13 homolog A		104	0.65	0.577	9.3125e-22	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SATB2	23314	Q9UPW6	SATB homeobox 2	Transcription factor	233	0.503	0.769	0.99999	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SZT2	23334	Q5T011	SZT2 subunit of KICSTOR complex		72	0.67	0.423	2.3263e-14	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SYNE1	23345	Q8NF91	spectrin repeat containing nuclear envelope protein 1		237	0.511	0.846	3.1899e-52	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	MED13L	23389	Q71F56	mediator complex subunit 13L		94	0.617	0.538	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	ADNP	23394	Q9H2P0	activity dependent neuroprotector homeobox		171	0.561	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ZFPM2	23414	Q8WW38	zinc finger protein, FOG family member 2	Transcription factor	142	0.565	0.731	1.0	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	CDK20	23552	Q8IZL9	cyclin dependent kinase 20	Kinase	34	0.682	0.462	5.9487e-14	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	NPAP1	23742	Q9NZP6	nuclear pore associated protein 1	Nucleic acid binding	66	0.67	0.5		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	FTSJ1	24140	Q9UET6	FtsJ RNA 2'-O-methyltransferase 1		57	0.659	0.577	0.99254	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GABRA1	2554	P14867	gamma-aminobutyric acid type A receptor subunit alpha1	Ion channel	123	0.563	0.577	0.91489	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GABRB2	2561	P47870	gamma-aminobutyric acid type A receptor subunit beta2	Ion channel	89	0.619	0.5	0.84876	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GABRG2	2566	P18507	gamma-aminobutyric acid type A receptor subunit gamma2	Ion channel	169	0.548	0.654	0.73852	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NIPBL	25836	Q6KC79	NIPBL cohesin loading factor	Nucleic acid binding	225	0.521	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ASPM	259266	Q8IZT6	abnormal spindle microtubule assembly		159	0.526	0.769	3.3502e-49	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SIN3A	25942	Q96ST3	SIN3 transcription regulator family member A	Enzyme	184	0.551	0.692	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SH2B1	25970	Q9NRF2	SH2B adaptor protein 1		140	0.566	0.731	0.96861	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PARS2	25973	Q7L3T8	prolyl-tRNA synthetase 2, mitochondrial	Enzyme	88	0.644	0.423	0.0041217	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NECAP1	25977	Q8NC96	NECAP endocytosis associated 1		55	0.691	0.346	0.12559	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TENM4	26011	Q6N022	teneurin transmembrane protein 4		44	0.65	0.462	1.0	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	SETBP1	26040	Q9Y6X0	SET binding protein 1		257	0.503	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GATA4	2626	P43694	GATA binding protein 4		336	0.458	0.846	0.49308	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TBL2	26608	Q9Y4P3	transducin beta like 2		190	0.538	0.731	0.00018452	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GDI1	2664	P31150	GDP dissociation inhibitor 1	Enzyme	102	0.572	0.654	0.99471	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CYFIP2	26999	Q96F07	cytoplasmic FMR1 interacting protein 2	Enzyme modulator	95	0.633	0.731	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MLH3	27030	Q9UHC1	mutL homolog 3	Nucleic acid binding	108	0.582	0.538	4.9023e-08	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SRPX2	27286	O60687	sushi repeat containing protein X-linked 2		80	0.621	0.462	0.04812	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GLUD1	2746	P00367	glutamate dehydrogenase 1	Enzyme	86	0.584	0.731	0.0070495	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GNAQ	2776	P50148	G protein subunit alpha q	Enzyme modulator	219	0.516	0.808	0.98069	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GNAS	2778	O95467;P63092;P84996;Q5JWF2	GNAS complex locus	Enzyme modulator	536	0.42	0.885	0.68076	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	GP1BB	2812	P13224	glycoprotein Ib platelet subunit beta		192	0.524	0.769	0.51249	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SLC13A5	284111	Q86YT5	solute carrier family 13 member 5	Transporter	106	0.608	0.577	0.00050598	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	LAMA1	284217	P25391	laminin subunit alpha 1		107	0.582	0.808	3.2248e-32	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	ZNF615	284370	Q8N8J6	zinc finger protein 615	Transcription factor	5	0.861	0.038	8.376e-12	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	ANK3	288	Q12955	ankyrin 3		106	0.578	0.654	1.0	0.1		1.0	1	2	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	GRIA4	2893	P48058	glutamate ionotropic receptor AMPA type subunit 4	Ion channel	75	0.631	0.615	0.01831	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GRIN2D	2906	O15399	glutamate ionotropic receptor NMDA type subunit 2D	Ion channel	82	0.65	0.538	0.99996	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MSH6	2956	P52701	mutS homolog 6	Nucleic acid binding	296	0.462	0.731	3.6705e-05	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GTF2I	2969	P78347	general transcription factor IIi		249	0.5	0.808	0.99592	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SH3KBP1	30011	Q96B97	SH3 domain containing kinase binding protein 1		37	0.705	0.615	0.99899	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HCFC1	3054	P51610	host cell factor C1		100	0.601	0.692	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HDC	3067	P19113	histidine decarboxylase		92	0.584	0.692	0.0041094	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ZNRD1	30834	Q9P1U0	zinc ribbon domain containing 1		50	0.653	0.654	0.2067	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	TAX1BP3	30851	O14907	Tax1 binding protein 3		27	0.716	0.615	0.0052431	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	HIVEP1	3096	P15822	HIVEP zinc finger 1		32	0.711	0.5	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	HLA-DMB	3109	P28068	major histocompatibility complex, class II, DM beta	Immune response	41	0.638	0.615	0.0024627	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	HLA-DPB2	3116		major histocompatibility complex, class II, DP beta 2 (pseudogene)		15	0.743	0.5		0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	HOXA2	3199	O43364	homeobox A2		26	0.7	0.385	0.19917	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HSPG2	3339	P98160	heparan sulfate proteoglycan 2	Enzyme modulator	405	0.438	0.885	1.0376e-19	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HTR1B	3351	P28222	5-hydroxytryptamine receptor 1B	G-protein coupled receptor	140	0.551	0.769	0.18947	0.1		0.769	13	4	2002.0	2018.0
Attention deficit hyperactivity disorder	C1263846	HTR2A	3356	P28223	5-hydroxytryptamine receptor 2A	G-protein coupled receptor	289	0.473	0.846	0.51124	0.1		1.0	13	3	2000.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SNORD115-1	338433		small nucleolar RNA, C/D box 115-1		63	0.682	0.423		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ZNF81	347344	P51508	zinc finger protein 81		43	0.705	0.385	0.55402	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TUBB2B	347733	Q9BVA1	tubulin beta 2B class IIb		82	0.61	0.385	0.9884	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	IGF1	3479	P05019	insulin like growth factor 1		1206	0.318	0.885	0.2716	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HCN1	348980	O60741	hyperpolarization activated cyclic nucleotide gated potassium channel 1		157	0.564	0.654	0.99989	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	IPW	3653		imprinted in Prader-Willi syndrome		63	0.682	0.423		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ITGAE	3682	P38570	integrin subunit alpha E		95	0.579	0.692	3.9199e-20	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	STT3A	3703	P46977	STT3 oligosaccharyltransferase complex catalytic subunit A	Enzyme	39	0.67	0.577	0.002045	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	ITPR3	3710	Q14573	inositol 1,4,5-trisphosphate receptor type 3	Ion channel	112	0.555	0.808	2.5541e-22	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	KCNA2	3737	P16389	potassium voltage-gated channel subfamily A member 2	Ion channel	111	0.612	0.577	0.91067	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	KCNB1	3745	Q14721	potassium voltage-gated channel subfamily B member 1	Ion channel	84	0.65	0.462	0.99977	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	KIF7	374654	Q2M1P5	kinesin family member 7		195	0.528	0.731	2.2711e-22	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	ARF1	375	P84077	ADP ribosylation factor 1		61	0.626	0.615	0.89967	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	KIF5B	3799	P33176	kinesin family member 5B	Cellular structure	67	0.604	0.538	0.99427	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	KIF11	3832	P52732	kinesin family member 11	Cellular structure	156	0.56	0.769	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	KRAS	3845	P01116	KRAS proto-oncogene, GTPase	Enzyme modulator	1213	0.32	0.923	0.00078803	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CEP85L	387119	Q5SZL2	centrosomal protein 85 like		40	0.656	0.423	4.5367e-09	0.1		1.0	1	2	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	MIR99AHG	388815		mir-99a-let-7c cluster host gene		17	0.78	0.192		0.1		1.0	1	1	2010.0	2010.0
Attention deficit hyperactivity disorder	C1263846	SFTA2	389376	Q6UW10	surfactant associated 2		25	0.695	0.577	0.036441	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	USP27X	389856	A6NNY8	ubiquitin specific peptidase 27 X-linked		49	0.705	0.462	0.92373	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	LHCGR	3973	P22888	luteinizing hormone/choriogonadotropin receptor	G-protein coupled receptor	151	0.528	0.692	5.2988e-08	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	LIG4	3981	P49917	DNA ligase 4		293	0.478	0.846	4.1635e-06	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	LIMK1	3984	P53667	LIM domain kinase 1	Kinase	271	0.488	0.731	0.99937	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MIR137HG	400765		MIR137 host gene		9	0.839	0.038		0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	EPCAM	4072	P16422	epithelial cell adhesion molecule		328	0.451	0.885	1.2844e-07	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MAN2A2	4122	P49641	mannosidase alpha class 2A member 2		1	1.0	0.038	1.4995e-10	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	MANBA	4126	O00462	mannosidase beta	Enzyme	38	0.736	0.462	1.3066e-18	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	MAOA	4128	P21397	monoamine oxidase A		300	0.465	0.769	0.99928	0.1		0.941	34	2	1999.0	2020.0
Attention deficit hyperactivity disorder	C1263846	MAOB	4129	P27338	monoamine oxidase B		152	0.533	0.808	0.99903	0.1		1.0	11	3	1999.0	2017.0
Attention deficit hyperactivity disorder	C1263846	ARSD	414	P51689	arylsulfatase D	Enzyme	163	0.535	0.808	0.0016285	0.1		1.0	11	0	2017.0	2020.0
Attention deficit hyperactivity disorder	C1263846	MEF2C	4208	Q06413	myocyte enhancer factor 2C	Transcription factor	206	0.517	0.769	0.017256	0.1		1.0	1	1	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	ARVCF	421	O00192	ARVCF delta catenin family member	Cellular structure	151	0.54	0.769	5.0422e-11	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	MITF	4286	O75030	melanocyte inducing transcription factor		244	0.499	0.808	0.98119	0.1		1.0	4	1	2011.0	2016.0
Attention deficit hyperactivity disorder	C1263846	MLH1	4292	P40692	mutL homolog 1	Nucleic acid binding	526	0.399	0.808	3.41e-05	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	KMT2A	4297	Q03164	lysine methyltransferase 2A		535	0.41	0.885	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MOBP	4336	Q13875	myelin associated oligodendrocyte basic protein	Cellular structure	20	0.7	0.423	0.54623	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	MSH2	4436	P43246	mutS homolog 2	Nucleic acid binding	490	0.406	0.808	0.89539	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	COX1	4512	P00395	cytochrome c oxidase subunit I	Enzyme	421	0.441	0.885		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	COX2	4513	P00403	cytochrome c oxidase subunit II	Enzyme	875	0.352	0.962		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	COX3	4514	P00414	cytochrome c oxidase III	Enzyme	195	0.546	0.808		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ND1	4535	P03886	NADH dehydrogenase, subunit 1 (complex I)	Enzyme	260	0.522	0.769		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ND4	4538	P03905	NADH dehydrogenase, subunit 4 (complex I)	Enzyme	214	0.546	0.769		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ND5	4540	P03915	NADH dehydrogenase, subunit 5 (complex I)	Enzyme	241	0.531	0.769		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ND6	4541	P03923	NADH dehydrogenase, subunit 6 (complex I)		224	0.544	0.808		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRNF	4558		tRNA		148	0.582	0.731		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRNH	4564		tRNA		125	0.597	0.731		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRNL1	4567		tRNA		234	0.534	0.731		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRNQ	4572		tRNA		137	0.59	0.731		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRNS1	4574		tRNA		186	0.555	0.808		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRNS2	4575		tRNA		152	0.579	0.731		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRNW	4578		tRNA		188	0.563	0.731		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NBN	4683	O60934	nibrin	Nucleic acid binding	291	0.467	0.808	2.1838e-16	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NCL	4691	P19338	nucleolin	Nucleic acid binding	167	0.509	0.808	0.99992	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	NDN	4692	Q99608	necdin, MAGE family member	Nucleic acid binding	124	0.578	0.654	0.67495	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NDP	4693	Q00604	norrin cystine knot growth factor NDP		142	0.566	0.692	0.65042	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RERE	473	Q9P2R6	arginine-glutamic acid dipeptide repeats		215	0.526	0.846	1.0	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	OCRL	4952	Q01968	OCRL inositol polyphosphate-5-phosphatase	Enzyme	184	0.553	0.731	0.99999	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	OPHN1	4983	O60890	oligophrenin 1	Enzyme modulator	81	0.633	0.538	0.99985	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SCAPER	49855	Q9BY12	S-phase cyclin A associated protein in the ER		56	0.653	0.5	0.0087953	0.1		1.0	1	1	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	PAK3	5063	O75914	p21 (RAC1) activated kinase 3	Kinase	134	0.569	0.731	0.98716	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NTM	50863	Q9P121	neurotrimin		58	0.644	0.577	0.057798	0.1		1.0	1	1	2016.0	2016.0
Attention deficit hyperactivity disorder	C1263846	WDPCP	51057	O95876	WD repeat containing planar cell polarity effector		105	0.576	0.769	1.0908e-10	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	MLXIPL	51085	Q9NP71	MLX interacting protein like		165	0.554	0.731	0.047771	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ZDHHC9	51114	Q9Y397	zinc finger DHHC-type palmitoyltransferase 9		52	0.67	0.577	0.73749	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PCNT	5116	O95613	pericentrin		156	0.564	0.808	4.0172e-58	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CRBN	51185	Q96SW2	cereblon	Enzyme	130	0.551	0.654	0.00028911	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RSRC1	51319	Q96IZ7	arginine and serine rich coiled-coil 1		66	0.65	0.462	7.4539e-05	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	WAC	51322	Q9BTA9	WW domain containing adaptor with coiled-coil		68	0.686	0.615	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ACTL6B	51412	O94805	actin like 6B	Cellular structure	100	0.656	0.462	0.00028347	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MPP6	51678	Q9NZW5	membrane palmitoylated protein 6	Enzyme	10	0.821	0.077	0.81619	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	WWOX	51741	Q9NZC7	WW domain containing oxidoreductase	Enzyme	356	0.453	0.808	1.2376e-15	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ATP6V1A	523	P38606	ATPase H+ transporting V1 subunit A	Transporter	147	0.579	0.615	0.86801	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PMS1	5378	P54277	PMS1 homolog 1, mismatch repair system component	Nucleic acid binding	115	0.569	0.654	1.3178e-17	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PMS2	5395	P54278	PMS1 homolog 2, mismatch repair system component	Nucleic acid binding	244	0.484	0.808	4.5176e-27	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	POLG	5428	P54098	DNA polymerase gamma, catalytic subunit	Enzyme	462	0.457	0.846	2.0756e-09	0.1		1.0	3	1	2010.0	2017.0
Attention deficit hyperactivity disorder	C1263846	MAGEL2	54551	Q9UJ55	MAGE family member L2	Cell adhesion	184	0.56	0.654	0.97506	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RBFOX1	54715	Q9NWB1	RNA binding fox-1 homolog 1	Nucleic acid binding	103	0.584	0.692	0.95263	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CNNM2	54805	Q9H8M5	cyclin and CBS domain divalent metal cation transport mediator 2		91	0.641	0.346	0.99521	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	DYM	54808	Q7RTS9	dymeclin		155	0.563	0.769	3.5939e-13	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NSUN2	54888	Q08J23	NOP2/Sun RNA methyltransferase 2	Enzyme	173	0.559	0.846	0.00025826	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PHIP	55023	Q8WWQ0	pleckstrin homology domain interacting protein	Epigenetic regulator	121	0.595	0.769	1.0	0.1			0	6		
Attention deficit hyperactivity disorder	C1263846	SETD5	55209	Q9C0A6	SET domain containing 5		161	0.56	0.731	0.99997	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MAP11	55262	Q8WVR3	microtubule associated protein 11		26	0.736	0.423	0.18133	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ACOXL	55289	Q9NUZ1	acyl-CoA oxidase like	Enzyme	46	0.674	0.577	5.2479e-15	0.1		1.0	1	1	2015.0	2015.0
Attention deficit hyperactivity disorder	C1263846	PPP3CA	5530	Q08209	protein phosphatase 3 catalytic subunit alpha		149	0.568	0.769	0.99988	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PI4K2B	55300	Q8TCG2	phosphatidylinositol 4-kinase type 2 beta	Enzyme	9	0.821	0.115	2.1895e-07	0.1		1.0	1	1	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	DHTKD1	55526	Q96HY7	dehydrogenase E1 and transketolase domain containing 1		28	0.711	0.385	2.7884e-30	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CHD7	55636	Q9P2D1	chromodomain helicase DNA binding protein 7		419	0.441	0.846	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MCTP2	55784	Q6DN12	multiple C2 and transmembrane domain containing 2		71	0.623	0.577	6.03e-52	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PRKCG	5582	P05129	protein kinase C gamma	Kinase	90	0.617	0.5	0.99985	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HDAC8	55869	Q9BY41	histone deacetylase 8	Epigenetic regulator	236	0.511	0.885	0.97707	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MAPK1	5594	P28482	mitogen-activated protein kinase 1	Kinase	1059	0.33	0.923	0.99698	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PRNP	5621	F7VJQ1;P04156	prion protein		426	0.445	0.923	0.00063182	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	C12orf4	57102	Q9NQ89	chromosome 12 open reading frame 4		49	0.691	0.308	1.0655e-05	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	SLC4A10	57282	Q6U841	solute carrier family 4 member 10	Transporter	35	0.678	0.269	0.13404	0.1		1.0	1	1	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	TBC1D24	57465	Q9ULP9	TBC1 domain family member 24	Enzyme modulator	218	0.53	0.808	1.2788e-08	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SORCS2	57537	Q96PQ0	sortilin related VPS10 domain containing receptor 2	Transporter	19	0.743	0.346	0.0031696	0.1		1.0	1	1	2015.0	2015.0
Attention deficit hyperactivity disorder	C1263846	PTPRF	5792	P10586	protein tyrosine phosphatase receptor type F	Enzyme	95	0.578	0.615	1.0	0.1		1.0	2	3	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	RAD21	5885	O60216	RAD21 cohesin complex component		192	0.528	0.846	0.99701	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RFC2	5982	P35250	replication factor C subunit 2	Enzyme	206	0.52	0.769	2.2054e-06	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	BCR	613	P11274	BCR activator of RhoGEF and GTPase	Enzyme modulator	392	0.431	0.885	0.98761	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RPS6KA3	6197	P51812	ribosomal protein S6 kinase A3	Kinase	315	0.491	0.846	0.99999	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RPS20	6224	P60866	ribosomal protein S20	Nucleic acid binding	86	0.61	0.692	0.020686	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RREB1	6239	Q92766	ras responsive element binding protein 1		227	0.5	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RXRG	6258	P48443	retinoid X receptor gamma	Nuclear receptor	40	0.674	0.615	0.42421	0.1		1.0	1	1	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.1		0.854	41	2	2005.0	2019.0
Attention deficit hyperactivity disorder	C1263846	BCORL1	63035	Q5H9F3	BCL6 corepressor like 1		49	0.682	0.5	0.99999	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SCN3A	6328	Q9NY46	sodium voltage-gated channel alpha subunit 3	Ion channel	88	0.617	0.538	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SCN8A	6334	Q9UQD0	sodium voltage-gated channel alpha subunit 8	Ion channel	302	0.51	0.731	1.0	0.1			0	0		
